User,Adresse,Smartscore,Win Rate,Markets,Realized PnL,Latest Activity Type,Latest Market,Latest Value,Latest Date,Positions Count,Active Orders Count,Recent Trades Count,Total Position Value,Largest Position Market,Largest Position Value,Most Recent Trade Market,Most Recent Trade Value,Most Recent Trade Date,Most Recent Order Market,Most Recent Order Value,Most Recent Order Date,Analysis Date
https://hashdive.com/Analyze_User?user_address=0x509587cbb541251c74f261df3421f1fcc9fdc97c,0x509587cbb541251c74f261df3421f1fcc9fdc97c,4.500764587555362,0.6114221724524076,893,754111.3506727914,trade,Market 0xebddfcf7...,$29664.55,2025-10-14T18:09:59,56,0,20,$0.00,No positions,$0.00,Market 0xebddfcf7...,$29664.55,2025-10-14T18:09:59,No orders,$0.00,N/A,2025-10-15T12:59:36.044496+00:00
https://hashdive.com/Analyze_User?user_address=0x998154d8eb4ba7c4b34b10d76b9742d922d7dec4,0x998154d8eb4ba7c4b34b10d76b9742d922d7dec4,1.7869449205234897,0.8503740648379052,802,109058.14066861954,trade,Market 0x93437d03...,$25803.17,2025-10-15T07:44:51,27,0,20,$0.00,No positions,$0.00,Market 0x93437d03...,$25803.17,2025-10-15T07:44:51,No orders,$0.00,N/A,2025-10-15T12:59:47.223441+00:00
https://hashdive.com/Analyze_User?user_address=0x614dc8d3542c12103d2c6a3553fd761e391d1546,0x614dc8d3542c12103d2c6a3553fd761e391d1546,3.660303812538948,0.6618580496249279,1733,230319.65765945727,trade,Market 0xc581417b...,$19393.57,2025-10-03T23:49:45,3,0,20,$0.00,No positions,$0.00,Market 0xc581417b...,$19393.57,2025-10-03T23:49:45,No orders,$0.00,N/A,2025-10-15T12:58:48.188041+00:00
https://hashdive.com/Analyze_User?user_address=0xee00ba338c59557141789b127927a55f5cc5cea1,0xee00ba338c59557141789b127927a55f5cc5cea1,1.7198486823914716,0.6438735675607606,7941,1526750.7091564268,trade,Market 0x12c45139...,$10542.70,2025-10-15T04:58:27,100,0,20,$0.00,No positions,$0.00,Market 0x12c45139...,$10542.70,2025-10-15T04:58:27,No orders,$0.00,N/A,2025-10-15T12:58:20.459134+00:00
https://hashdive.com/Analyze_User?user_address=0xee035898c9ec311c6692e08b465ea388380c3eea,0xee035898c9ec311c6692e08b465ea388380c3eea,2.8493042623129874,0.6081208687440982,1059,198695.30893247545,trade,Market 0xd8dfd4c7...,$9989.49,2025-10-15T14:00:45,6,0,20,$0.00,No positions,$0.00,Market 0xd8dfd4c7...,$9989.49,2025-10-15T14:00:45,No orders,$0.00,N/A,2025-10-15T12:59:20.144771+00:00
https://hashdive.com/Analyze_User?user_address=0x9055a9e36aa73274e3a92dc2dbb081bb4d9e756a,0x9055a9e36aa73274e3a92dc2dbb081bb4d9e756a,1.4421655776710396,0.857335127860027,2229,35032.916405114556,trade,Market 0x6ba1b24f...,$5940.00,2025-10-15T14:53:53,3,0,20,$0.00,No positions,$0.00,Market 0x6ba1b24f...,$5940.00,2025-10-15T14:53:53,No orders,$0.00,N/A,2025-10-15T12:58:42.137005+00:00
https://hashdive.com/Analyze_User?user_address=0xc0d92c7177507c5acad54205cf8e638b64d9da5e,0xc0d92c7177507c5acad54205cf8e638b64d9da5e,4.111559357359816,0.7715269804822044,871,44460.81439409269,trade,Market 0xa9b4d63d...,$4401.32,2025-10-15T05:57:27,100,0,20,$0.00,No positions,$0.00,Market 0xa9b4d63d...,$4401.32,2025-10-15T05:57:27,No orders,$0.00,N/A,2025-10-15T12:59:39.496960+00:00
https://hashdive.com/Analyze_User?user_address=0x0f1b8f81fdcb47b6c3292b8dbf6c2c16b3c4d367,0x0f1b8f81fdcb47b6c3292b8dbf6c2c16b3c4d367,2.4717916849800097,0.5558121632024634,1299,414454.31064415665,trade,Market 0xf0ee86ff...,$4333.12,2025-08-01T15:18:06,100,0,20,$0.00,No positions,$0.00,Market 0xf0ee86ff...,$4333.12,2025-08-01T15:18:06,No orders,$0.00,N/A,2025-10-15T12:59:07.287046+00:00
https://hashdive.com/Analyze_User?user_address=0xc8b438e4a1c10643ea0ea3e59bcaadc73174f05d,0xc8b438e4a1c10643ea0ea3e59bcaadc73174f05d,1.7545518854890083,0.5629496402877698,1668,149305.01457851497,trade,Market 0xf2251581...,$4300.00,2025-10-15T14:18:11,49,0,20,$0.00,No positions,$0.00,Market 0xf2251581...,$4300.00,2025-10-15T14:18:11,No orders,$0.00,N/A,2025-10-15T12:58:49.137337+00:00
https://hashdive.com/Analyze_User?user_address=0x79f365b8973887b4d5606650edf6948fcd0bd803,0x79f365b8973887b4d5606650edf6948fcd0bd803,4.622586457567793,0.6811832374691865,1217,44319.589312930395,trade,Market 0x01b2401e...,$3264.52,2025-10-15T10:00:03,100,0,20,$0.00,No positions,$0.00,Market 0x01b2401e...,$3264.52,2025-10-15T10:00:03,No orders,$0.00,N/A,2025-10-15T12:59:11.082947+00:00
https://hashdive.com/Analyze_User?user_address=0xdd225a03cd7ed89e3931906c67c75ab31cf89ef1,0xdd225a03cd7ed89e3931906c67c75ab31cf89ef1,2.387302309014995,0.6819747416762342,1742,188723.08997265925,trade,Market 0x5bf00515...,$3200.00,2025-10-14T18:02:53,13,0,20,$0.00,No positions,$0.00,Market 0x5bf00515...,$3200.00,2025-10-14T18:02:53,No orders,$0.00,N/A,2025-10-15T12:58:47.710921+00:00
https://hashdive.com/Analyze_User?user_address=0xea3ec7bc9f7b0896887cef65179dc68b7e2db956,0xea3ec7bc9f7b0896887cef65179dc68b7e2db956,2.8261019336019055,0.5908440629470673,699,19108.407533133744,trade,Market 0xc480ad20...,$2758.86,2025-10-12T23:47:01,54,0,20,$0.00,No positions,$0.00,Market 0xc480ad20...,$2758.86,2025-10-12T23:47:01,No orders,$0.00,N/A,2025-10-15T12:59:59.318917+00:00
https://hashdive.com/Analyze_User?user_address=0xa2f1fecf1cc7db65a46588f764b6691533052d22,0xa2f1fecf1cc7db65a46588f764b6691533052d22,2.8660056590481537,0.5778065351019087,3091,527773.8662214294,trade,Market 0x6ba1b24f...,$2673.00,2025-10-15T14:50:49,100,0,20,$0.00,No positions,$0.00,Market 0x6ba1b24f...,$2673.00,2025-10-15T14:50:49,No orders,$0.00,N/A,2025-10-15T12:58:33.486585+00:00
https://hashdive.com/Analyze_User?user_address=0x7dd0ef80b582891d0961ec9cfc65a4d8cae12b4b,0x7dd0ef80b582891d0961ec9cfc65a4d8cae12b4b,1.6135403668686177,0.5766423357664233,685,10512.305070883333,trade,Market 0x5b8afc64...,$2446.67,2025-10-14T07:11:21,72,0,20,$0.00,No positions,$0.00,Market 0x5b8afc64...,$2446.67,2025-10-14T07:11:21,No orders,$0.00,N/A,2025-10-15T13:00:00.895081+00:00
https://hashdive.com/Analyze_User?user_address=0xa52b785a5510117ac3ae03d75d029f89a36c9480,0xa52b785a5510117ac3ae03d75d029f89a36c9480,1.7701837549014077,0.9374090247452693,687,43186.51949306385,trade,Market 0xa9b4d63d...,$1979.34,2025-10-14T18:42:59,15,0,20,$0.00,No positions,$0.00,Market 0xa9b4d63d...,$1979.34,2025-10-14T18:42:59,No orders,$0.00,N/A,2025-10-15T13:00:00.355583+00:00
https://hashdive.com/Analyze_User?user_address=0x2a019dc0089ea8c6edbbafc8a7cc9ba77b4b6397,0x2a019dc0089ea8c6edbbafc8a7cc9ba77b4b6397,1.5438273220313379,0.8071481757259866,1343,92380.91082277418,trade,Market 0x6812acca...,$1935.61,2025-10-15T03:20:11,17,0,20,$0.00,No positions,$0.00,Market 0x6812acca...,$1935.61,2025-10-15T03:20:11,No orders,$0.00,N/A,2025-10-15T12:59:05.213566+00:00
https://hashdive.com/Analyze_User?user_address=0x0523ff55bd7525d5fbda5c77f80f61662db4e38b,0x0523ff55bd7525d5fbda5c77f80f61662db4e38b,1.0921044360446377,0.6892177589852009,946,40701.20865641501,trade,Market 0x53f82bd5...,$1656.79,2025-10-15T04:15:41,41,0,20,$0.00,No positions,$0.00,Market 0x53f82bd5...,$1656.79,2025-10-15T04:15:41,No orders,$0.00,N/A,2025-10-15T12:59:30.519922+00:00
https://hashdive.com/Analyze_User?user_address=0x3078755a25620dfa7684f9a8b9513017d4473e11,0x3078755a25620dfa7684f9a8b9513017d4473e11,1.3799679673433205,0.5762081784386617,807,247499.8495037899,trade,Market 0x26829607...,$1548.00,2025-04-04T18:49:47,0,0,20,$0.00,No positions,$0.00,Market 0x26829607...,$1548.00,2025-04-04T18:49:47,No orders,$0.00,N/A,2025-10-15T12:59:46.719576+00:00
https://hashdive.com/Analyze_User?user_address=0xccf25be5f62cb1e2fbdc6b0392aa50584e6e41b7,0xccf25be5f62cb1e2fbdc6b0392aa50584e6e41b7,1.5611870045027898,0.5616591928251121,892,209752.35834880057,trade,Market 0x41c0ac27...,$1537.44,2025-01-06T05:01:42,0,0,20,$0.00,No positions,$0.00,Market 0x41c0ac27...,$1537.44,2025-01-06T05:01:42,No orders,$0.00,N/A,2025-10-15T12:59:37.429592+00:00
https://hashdive.com/Analyze_User?user_address=0xbde579ead903b9cf5c3fc4be5a0c515464769c38,0xbde579ead903b9cf5c3fc4be5a0c515464769c38,2.029734704565282,0.591378263509411,3294,61961.32274448595,trade,Market 0x94c9edd4...,$1515.68,2025-10-14T06:59:27,49,0,20,$0.00,No positions,$0.00,Market 0x94c9edd4...,$1515.68,2025-10-14T06:59:27,No orders,$0.00,N/A,2025-10-15T12:58:32.034486+00:00
https://hashdive.com/Analyze_User?user_address=0x088ffbbc6f2c0b3839d2832e75f37e1bcecbc9e7,0x088ffbbc6f2c0b3839d2832e75f37e1bcecbc9e7,1.0171745651146673,0.6525252525252525,990,174672.79100180502,trade,Market 0xadf2f67d...,$1421.99,2025-10-15T13:08:03,22,0,20,$0.00,No positions,$0.00,Market 0xadf2f67d...,$1421.99,2025-10-15T13:08:03,No orders,$0.00,N/A,2025-10-15T12:59:26.132047+00:00
https://hashdive.com/Analyze_User?user_address=0xf8ccb567e89c3240359217ebd0b5b5fe7fce5a82,0xf8ccb567e89c3240359217ebd0b5b5fe7fce5a82,2.5690556649260508,0.6866485013623979,734,129995.59427365052,trade,Market 0xc837ff11...,$1402.08,2025-10-15T14:54:19,11,0,20,$0.00,No positions,$0.00,Market 0xc837ff11...,$1402.08,2025-10-15T14:54:19,No orders,$0.00,N/A,2025-10-15T12:59:55.359692+00:00
https://hashdive.com/Analyze_User?user_address=0xd04d631183d7568356f598a3c77181ec4ab6d0e5,0xd04d631183d7568356f598a3c77181ec4ab6d0e5,2.0505785865948885,0.5858310626702997,2936,42824.80989351908,trade,Market 0x79f838ab...,$1366.06,2025-10-15T13:23:13,5,0,20,$0.00,No positions,$0.00,Market 0x79f838ab...,$1366.06,2025-10-15T13:23:13,No orders,$0.00,N/A,2025-10-15T12:58:34.456058+00:00
https://hashdive.com/Analyze_User?user_address=0xa486f1e84d08b356967943a47b70bb8504dd25d4,0xa486f1e84d08b356967943a47b70bb8504dd25d4,1.7515743337893854,0.8163265306122449,1078,13197.717895188753,trade,Market 0xf4a46285...,$1228.01,2025-10-15T09:16:47,18,0,20,$0.00,No positions,$0.00,Market 0xf4a46285...,$1228.01,2025-10-15T09:16:47,No orders,$0.00,N/A,2025-10-15T12:59:18.139974+00:00
https://hashdive.com/Analyze_User?user_address=0xe25b9180f5687aa85bd94ee309bb72a464320f1b,0xe25b9180f5687aa85bd94ee309bb72a464320f1b,1.0457432790885721,0.5955056179775281,890,174500.69653330007,trade,Market 0xeb1ea7b1...,$1214.54,2025-10-14T08:58:05,12,0,20,$0.00,No positions,$0.00,Market 0xeb1ea7b1...,$1214.54,2025-10-14T08:58:05,No orders,$0.00,N/A,2025-10-15T12:59:37.952381+00:00
https://hashdive.com/Analyze_User?user_address=0x212954857f5efc138748c33d032a93bf95974222,0x212954857f5efc138748c33d032a93bf95974222,5.6293171782573665,0.5639833618791289,8174,642216.1884754718,trade,Market 0xe2dc0e56...,$998.76,2025-10-15T14:19:51,100,0,20,$0.00,No positions,$0.00,Market 0xe2dc0e56...,$998.76,2025-10-15T14:19:51,No orders,$0.00,N/A,2025-10-15T12:58:19.345913+00:00
https://hashdive.com/Analyze_User?user_address=0xa9878e59934ab507f9039bcb917c1bae0451141d,0xa9878e59934ab507f9039bcb917c1bae0451141d,4.347444841307373,0.7273730684326711,906,1547241.1302921933,trade,Market 0xac2be3a5...,$965.73,2025-10-15T10:21:35,73,0,20,$0.00,No positions,$0.00,Market 0xac2be3a5...,$965.73,2025-10-15T10:21:35,No orders,$0.00,N/A,2025-10-15T12:59:35.064563+00:00
https://hashdive.com/Analyze_User?user_address=0x97a71436ca5aa580ab75e6fca002186e629c49f7,0x97a71436ca5aa580ab75e6fca002186e629c49f7,2.0989402906934176,0.6524300441826215,679,15131.659540032075,trade,Market 0xdea2fa73...,$940.00,2025-10-06T16:40:05,41,0,20,$0.00,No positions,$0.00,Market 0xdea2fa73...,$940.00,2025-10-06T16:40:05,No orders,$0.00,N/A,2025-10-15T13:00:02.905957+00:00
https://hashdive.com/Analyze_User?user_address=0x6828e04b468e17d92fa1e5d60d59290278a81056,0x6828e04b468e17d92fa1e5d60d59290278a81056,1.33465062873251,0.660377358490566,2438,41770.04963929411,trade,Market 0xa1824a5c...,$864.14,2025-10-15T14:51:55,100,0,20,$0.00,No positions,$0.00,Market 0xa1824a5c...,$864.14,2025-10-15T14:51:55,No orders,$0.00,N/A,2025-10-15T12:58:38.897516+00:00
https://hashdive.com/Analyze_User?user_address=0x578d665b6dd21abf12a393579699e35a2686fbb3,0x578d665b6dd21abf12a393579699e35a2686fbb3,1.663766417127142,0.6941687344913151,1612,322428.8370558099,trade,Market 0xcba24842...,$864.00,2025-10-10T15:16:14,26,0,20,$0.00,No positions,$0.00,Market 0xcba24842...,$864.00,2025-10-10T15:16:14,No orders,$0.00,N/A,2025-10-15T12:58:52.055484+00:00
https://hashdive.com/Analyze_User?user_address=0x1cc16713196d456f86fa9c7387dd326a7f73b8df,0x1cc16713196d456f86fa9c7387dd326a7f73b8df,5.797331382759973,0.5507399577167019,946,228375.6094622739,trade,Market 0xebfda84c...,$862.62,2025-08-12T15:27:56,4,0,20,$0.00,No positions,$0.00,Market 0xebfda84c...,$862.62,2025-08-12T15:27:56,No orders,$0.00,N/A,2025-10-15T12:59:30.009797+00:00
https://hashdive.com/Analyze_User?user_address=0x9dfe2f73d3c988a9d69df8fa0beb85651340b3dd,0x9dfe2f73d3c988a9d69df8fa0beb85651340b3dd,7.379464287376612,0.6855763427881714,1657,35379.99565489279,trade,Market 0x77b4a1d4...,$860.45,2025-10-13T13:18:17,14,0,20,$0.00,No positions,$0.00,Market 0x77b4a1d4...,$860.45,2025-10-13T13:18:17,No orders,$0.00,N/A,2025-10-15T12:58:50.079250+00:00
https://hashdive.com/Analyze_User?user_address=0xb410255a64fd72acdb7e57b8f65999865a017736,0xb410255a64fd72acdb7e57b8f65999865a017736,11.698481360241875,0.5717415115005476,913,23551.082316479347,trade,Market 0xc30407cd...,$841.50,2025-10-14T22:47:59,82,0,20,$0.00,No positions,$0.00,Market 0xc30407cd...,$841.50,2025-10-14T22:47:59,No orders,$0.00,N/A,2025-10-15T12:59:33.620031+00:00
https://hashdive.com/Analyze_User?user_address=0x6bab41a0dc40d6dd4c1a915b8c01969479fd1292,0x6bab41a0dc40d6dd4c1a915b8c01969479fd1292,2.672346189974963,0.6407766990291263,1648,552155.2614943008,trade,Market 0x293fb49f...,$840.00,2025-10-15T04:19:33,36,0,20,$0.00,No positions,$0.00,Market 0x293fb49f...,$840.00,2025-10-15T04:19:33,No orders,$0.00,N/A,2025-10-15T12:58:50.550217+00:00
https://hashdive.com/Analyze_User?user_address=0xad287cbd7db82d684a5066515c7ee624df111601,0xad287cbd7db82d684a5066515c7ee624df111601,1.7386485944238663,0.5565912117177098,751,9862.748644767278,trade,Market 0x7ddbf4c4...,$820.80,2025-09-28T20:02:27,32,0,20,$0.00,No positions,$0.00,Market 0x7ddbf4c4...,$820.80,2025-09-28T20:02:27,No orders,$0.00,N/A,2025-10-15T12:59:52.528444+00:00
https://hashdive.com/Analyze_User?user_address=0x6916cc00aa1c3e75ecf4081df7cae7d2f3592fd4,0x6916cc00aa1c3e75ecf4081df7cae7d2f3592fd4,1.247358323718963,0.6089441829186281,2974,120579.75246014031,trade,Market 0xe2af0531...,$809.10,2025-10-15T14:34:27,71,0,20,$0.00,No positions,$0.00,Market 0xe2af0531...,$809.10,2025-10-15T14:34:27,No orders,$0.00,N/A,2025-10-15T12:58:33.988965+00:00
https://hashdive.com/Analyze_User?user_address=0xebf79787ab928c803cbef6fa8e0abe42b9e1da78,0xebf79787ab928c803cbef6fa8e0abe42b9e1da78,3.6792227911098885,0.581858407079646,2260,938164.3160301157,trade,Market 0x0b09d80b...,$778.04,2025-09-03T21:25:10,24,0,20,$0.00,No positions,$0.00,Market 0x0b09d80b...,$778.04,2025-09-03T21:25:10,No orders,$0.00,N/A,2025-10-15T12:58:40.597626+00:00
https://hashdive.com/Analyze_User?user_address=0x7304f9c7f37593854a880100a8c54f9466fa0379,0x7304f9c7f37593854a880100a8c54f9466fa0379,2.0749744525750313,0.6797829036635007,737,18842.92086138638,trade,Market 0xc2e5f441...,$746.62,2025-10-09T01:30:55,9,0,20,$0.00,No positions,$0.00,Market 0xc2e5f441...,$746.62,2025-10-09T01:30:55,No orders,$0.00,N/A,2025-10-15T12:59:54.406121+00:00
https://hashdive.com/Analyze_User?user_address=0xae363845352952cdea784f581e9ee99a219c8fb5,0xae363845352952cdea784f581e9ee99a219c8fb5,3.2167112240550666,0.5941463414634146,1025,980855.9407080546,trade,Market 0x0e99e39d...,$647.15,2025-06-10T06:52:31,0,0,20,$0.00,No positions,$0.00,Market 0x0e99e39d...,$647.15,2025-06-10T06:52:31,No orders,$0.00,N/A,2025-10-15T12:59:22.234165+00:00
https://hashdive.com/Analyze_User?user_address=0xdcc9d68a4bad9fc8becd27a03ee5b2b4feda4534,0xdcc9d68a4bad9fc8becd27a03ee5b2b4feda4534,1.0660065477729548,0.7767175572519084,1048,41040.6802983892,trade,Market 0x5e8e585d...,$642.01,2025-10-14T05:39:15,100,0,20,$0.00,No positions,$0.00,Market 0x5e8e585d...,$642.01,2025-10-14T05:39:15,No orders,$0.00,N/A,2025-10-15T12:59:21.739522+00:00
https://hashdive.com/Analyze_User?user_address=0xf699a6477fa8e385987f8ae6a3657b2e106107e1,0xf699a6477fa8e385987f8ae6a3657b2e106107e1,10.458838759495794,0.8223189552829442,2527,219245.23800998816,trade,Market 0x87842dce...,$598.00,2025-10-15T05:37:23,5,0,20,$0.00,No positions,$0.00,Market 0x87842dce...,$598.00,2025-10-15T05:37:23,No orders,$0.00,N/A,2025-10-15T12:58:36.949776+00:00
https://hashdive.com/Analyze_User?user_address=0xfb79181a9d9dcaceda40803c0aeb55f6c58ec2c6,0xfb79181a9d9dcaceda40803c0aeb55f6c58ec2c6,14.781167487635818,0.5793044953350297,1179,312595.46509886155,trade,Market 0x8c680303...,$588.66,2025-03-20T19:19:21,0,0,20,$0.00,No positions,$0.00,Market 0x8c680303...,$588.66,2025-03-20T19:19:21,No orders,$0.00,N/A,2025-10-15T12:59:12.094908+00:00
https://hashdive.com/Analyze_User?user_address=0xd1acd3925d895de9aec98ff95f3a30c5279d08d5,0xd1acd3925d895de9aec98ff95f3a30c5279d08d5,2.9023551706771062,0.5596755504055619,863,755636.5044766355,trade,Market 0xfccc16f3...,$572.02,2025-10-14T03:08:55,48,0,20,$0.00,No positions,$0.00,Market 0xfccc16f3...,$572.02,2025-10-14T03:08:55,No orders,$0.00,N/A,2025-10-15T12:59:42.048465+00:00
https://hashdive.com/Analyze_User?user_address=0x430ed984671d00ba19f97524083f655bc70ded6d,0x430ed984671d00ba19f97524083f655bc70ded6d,1.8237445351795882,0.7735470941883767,2495,13981.382877936097,trade,Market 0xaf510a1f...,$431.61,2025-10-15T02:26:49,94,0,20,$0.00,No positions,$0.00,Market 0xaf510a1f...,$431.61,2025-10-15T02:26:49,No orders,$0.00,N/A,2025-10-15T12:58:37.428283+00:00
https://hashdive.com/Analyze_User?user_address=0xd5b97d08ec6098407bfbf66c2786ccc9967fe44e,0xd5b97d08ec6098407bfbf66c2786ccc9967fe44e,9.501875858455406,0.6364312267657992,1345,21608.323821138678,trade,Market 0xc274f712...,$431.00,2025-10-15T13:38:39,100,0,20,$0.00,No positions,$0.00,Market 0xc274f712...,$431.00,2025-10-15T13:38:39,No orders,$0.00,N/A,2025-10-15T12:59:04.737138+00:00
https://hashdive.com/Analyze_User?user_address=0xcaab19659b995951a44cc992447cb2ad5be324dd,0xcaab19659b995951a44cc992447cb2ad5be324dd,1.229304932071483,0.786046511627907,860,24646.868807152267,trade,Market 0x8147e29f...,$389.55,2025-10-15T08:03:01,100,0,20,$0.00,No positions,$0.00,Market 0x8147e29f...,$389.55,2025-10-15T08:03:01,No orders,$0.00,N/A,2025-10-15T12:59:43.128619+00:00
https://hashdive.com/Analyze_User?user_address=0xd98635c6bafebb11787bdbfd80688612d1bc1320,0xd98635c6bafebb11787bdbfd80688612d1bc1320,7.09293670309515,0.5588235294117647,748,52279.355323235,trade,Market 0x6ff7e57f...,$335.21,2025-10-15T14:35:15,27,0,20,$0.00,No positions,$0.00,Market 0x6ff7e57f...,$335.21,2025-10-15T14:35:15,No orders,$0.00,N/A,2025-10-15T12:59:52.990155+00:00
https://hashdive.com/Analyze_User?user_address=0x000d257d2dc7616feaef4ae0f14600fdf50a758e,0x000d257d2dc7616feaef4ae0f14600fdf50a758e,2.4399921410555474,0.8147208121827412,788,909498.0253918307,trade,Market 0x6ef34d5c...,$333.37,2025-10-15T06:49:45,86,0,20,$0.00,No positions,$0.00,Market 0x6ef34d5c...,$333.37,2025-10-15T06:49:45,No orders,$0.00,N/A,2025-10-15T12:59:48.302945+00:00
https://hashdive.com/Analyze_User?user_address=0xe0f1e7751df4035f78a5eb2f4296c98b4d5bc4bd,0xe0f1e7751df4035f78a5eb2f4296c98b4d5bc4bd,4.402139263768306,0.6622613803230544,681,27738.670724673004,trade,Market 0xafc23555...,$312.00,2025-10-13T01:05:45,53,0,20,$0.00,No positions,$0.00,Market 0xafc23555...,$312.00,2025-10-13T01:05:45,No orders,$0.00,N/A,2025-10-15T13:00:01.366720+00:00
https://hashdive.com/Analyze_User?user_address=0xdd8e67a862bd81067891ad41e86e9673229ef023,0xdd8e67a862bd81067891ad41e86e9673229ef023,1.2650839479757536,0.5692729766803841,729,43549.16812685817,trade,Market 0x6792fbcc...,$300.00,2025-10-14T23:44:15,20,0,20,$0.00,No positions,$0.00,Market 0x6792fbcc...,$300.00,2025-10-14T23:44:15,No orders,$0.00,N/A,2025-10-15T12:59:55.813294+00:00
